name,size,avg throughput,avg time,stdev time,cv
benchReduceOmpSimd,1073741824,21.3025,2.01618e+08,60511.1,0.000300127
benchReduceDirectiveUnroll,1073741824,63.9103,2.01609e+08,42153.1,0.000209083
benchReduceDirectiveUnrollFactor64,1073741824,107.629,1.19716e+08,34153.5,0.000285288
benchReduceUnrollManual,1073741824,22.5989,5.70156e+08,1.08113e+06,0.00189621
benchReduceUnrollLoopPeeling,1073741824,817.907,1.57535e+07,15230.1,0.000966775
benchReduceUnrollLoopPeelingDirective,1073741824,127.731,1.00875e+08,233884,0.00231854
benchReduceUnrollTree,1073741824,4082.83,3.15588e+06,21186.4,0.00671331
benchReduceUnrollTreeDirective,1073741824,12.4553,1.03449e+09,683017,0.000660246
benchReduceUnrollSimdXHorizontal,1073741824,170.4,2.52052e+07,33429.5,0.0013263
benchReduceUnrollSimdXVertical,1073741824,127.812,3.36038e+07,21745.7,0.00064712
