name,size,avg throughput,avg time,stdev time,cv
benchReduceOmpSimd,1073741824,21.3002,2.0164e+08,182573,0.000905439
benchReduceDirectiveUnroll,1073741824,63.8752,2.0172e+08,101019,0.000500789
benchReduceDirectiveUnrollFactor64,1073741824,107.644,1.19699e+08,28890,0.000241356
benchReduceUnrollManual,1073741824,22.5982,5.70175e+08,552478,0.000968963
benchReduceUnrollLoopPeeling,1073741824,817.981,1.57521e+07,9547.74,0.000606126
benchReduceUnrollLoopPeelingDirective,1073741824,127.814,1.00809e+08,30647.7,0.000304016
benchReduceUnrollTree,1073741824,4086.04,3.1534e+06,9589.28,0.00304094
benchReduceUnrollTreeDirective,1073741824,12.4495,1.03497e+09,740377,0.00071536
benchReduceUnrollSimdXHorizontal,1073741824,170.398,2.52055e+07,18973.4,0.000752747
benchReduceUnrollSimdXVertical,1073741824,127.768,3.36153e+07,20910.5,0.000622052
